song_id,title,release,artist_name,year,tag,duration,listeners,playcount,image_url_large,image_url_exlarge
SOQMMHC12AB0180CB8,Silent Night,Monster Ballads X-Mas,Faster Pussy cat,2003,"['christmas', 'psychedelic', 'weird', 'metal', 'rock']",253000,1968,6601,https://lastfm.freetls.fastly.net/i/u/174s/a2eee9eb2f0d4b04bdea9a400897c5f7.png,https://lastfm.freetls.fastly.net/i/u/300x300/a2eee9eb2f0d4b04bdea9a400897c5f7.png
SOVFVAK12A8C1350D9,Tanssi vaan,Karkuteillä,Karkkiautomaatti,1995,[],155000,1586,4996,https://lastfm.freetls.fastly.net/i/u/174s/8e4e836c90ad2d1a0c48e4a292e5c612.png,https://lastfm.freetls.fastly.net/i/u/300x300/8e4e836c90ad2d1a0c48e4a292e5c612.png
SOGTUKN12AB017F4F1,No One Could Ever,Butter,Hudson Mohawke,2006,"['Hip-Hop', 'experimental', 'instrumental hip-hop', 'chipmunks on synths', 'electronic']",139000,29044,116154,https://lastfm.freetls.fastly.net/i/u/174s/a82871dba96040d6a72046beb40e6460.png,https://lastfm.freetls.fastly.net/i/u/300x300/a82871dba96040d6a72046beb40e6460.png
SOBNYVR12A8C13558C,Si Vos Querés,De Culo,Yerba Brava,2003,[],145000,27,45,n/a,n/a
SOHSBXH12A8C13B0DF,Tangle Of Aspens,Rene Ablaze Presents Winter Sessions,Der Mystic,0,[],0,0,0,n/a,n/a
SOZVAPQ12A8C13B63C,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",Berwald: Symphonies Nos. 1/2/3/4,David Montgomery,0,[],0,0,0,n/a,n/a
SOQVRHI12A6D4FB2D7,We Have Got Love,Strictly The Best Vol. 34,Sasha / Turbulence,0,[],0,0,0,n/a,n/a
SOEYRFT12AB018936C,2 Da Beat Ch'yall,Da Bomb,Kris Kross,1993,[],221000,1299,3069,https://lastfm.freetls.fastly.net/i/u/174s/07cc8506ee8b7a70e5741314d75c8572.png,https://lastfm.freetls.fastly.net/i/u/300x300/07cc8506ee8b7a70e5741314d75c8572.png
SOPMIYT12A6D4F851E,Goodbye,Danny Boy,Joseph Locke,0,[],178000,20,60,n/a,n/a
SOJCFMH12A8C13B0C2,Mama_ mama can't you see ?,March to cadence with the US marines,The Sun Harbor's Chorus-Documentary Recordings,0,[],0,0,0,n/a,n/a
